OBJECTID,Title,x,y
1,Point,-10547593.340226736,3416411.0042788377
2,Point,-10555119.18421213,3415916.9732835186
3,Point,-10553039.426632557,3414408.2237252686
4,Point,-10552959.12669782,3414428.2497228202
5,Point,-10552963.705734883,3414389.380392919
6,Point,-10551221.856830887,3413980.042937986
7,Point,-10551185.952328334,3414795.634054213
8,Point,-10551144.435414594,3414629.748347743
9,Point,-10551124.467733864,3414580.5289478144
10,Point,-10551915.740734203,3414932.7369087515
11,Point,-10552583.727302078,3414786.996166174
12,Point,-10552519.33619708,3414698.0490126875
13,Point,-10552477.380740818,3414646.963474373
14,Point,-10552105.771938667,3413741.634428539
15,Point,-10552485.13921114,3414274.7248505517
16,Point,-10552327.917052126,3414451.7187457643
17,Point,-10552618.353499819,3414482.3700687527
18,Point,-10552219.158506995,3414590.62475652
19,Point,-10552078.908876602,3414562.100831291
20,Point,-10552133.194842247,3414574.174746648
21,Point,-10552406.098919775,3412202.8353769192
22,Point,-10553606.091216723,3411305.81997761
23,Point,-10553940.783136237,3411949.469768297
24,Point,-10554025.011292286,3411836.42843557
25,Point,-10554032.046634,3412712.627061218
26,Point,-10554697.791503148,3411737.9989663735
27,Point,-10556563.985873166,3410941.0832300736
28,Point,-10557635.31725912,3408676.878865119
29,Point,-10559355.1877183,3412325.6272827
30,Point,-10560889.37740809,3408826.057967685
